,txt_path,random,blind,interest,welfare,exclusion,id
0,"/home/qwang/rob/rob-pome/rob-app/sample/Viviam OS, 2015.txt",0.9999915361404419,3.060912945329619e-07,0.9983987212181091,0.9862149357795715,0.3902871310710907,240647
1,"/home/qwang/rob/rob-pome/rob-app/sample/Lei Y, 2015.txt",0.9998514652252197,8.871649583852559e-07,1.0,0.969963014125824,0.16732697188854218,175949
2,"/home/qwang/rob/rob-pome/rob-app/sample/Magdy MA, 2015.txt",0.9928401708602905,2.4646811880302266e-07,0.9792177677154541,0.9872004985809326,0.16030046343803406,174906
3,"/home/qwang/rob/rob-pome/rob-app/sample/Minwoo A, 2015.txt",0.9999921321868896,6.630563689213886e-07,0.5671822428703308,0.9911378026008606,0.188473641872406,62522
